id,WorkDatasetSize,WorkMethodsFrequency,Frequency
1,10GB,A/B,NA
2,1GB,A/B,Sometimes
3,100GB,A/B,Often
4,1GB,A/B,NA
5,1GB,A/B,Rarely
6,100MB,A/B,NA
7,1TB,A/B,NA
8,10TB,A/B,NA
9,NA,A/B,NA
10,10GB,A/B,NA
11,1GB,A/B,NA
12,100GB,A/B,NA
13,NA,A/B,NA
14,1GB,A/B,NA
15,10GB,A/B,Sometimes
16,100MB,A/B,NA
17,100GB,A/B,Often
18,1GB,A/B,Often
19,1GB,A/B,Sometimes
20,10GB,A/B,NA
21,100MB,A/B,NA
22,1TB,A/B,NA
23,100MB,A/B,NA
24,1GB,A/B,Often
25,10MB,A/B,Sometimes
26,10GB,A/B,Often
27,100TB,A/B,NA
28,100GB,A/B,NA
29,100GB,A/B,NA
30,100GB,A/B,NA
31,100MB,A/B,NA
32,1GB,A/B,NA
33,100MB,A/B,NA
34,100MB,A/B,Often
35,1GB,A/B,NA
36,10GB,A/B,NA
37,1MB,A/B,NA
38,1GB,A/B,NA
39,100GB,A/B,NA
40,100GB,A/B,NA
41,100GB,A/B,NA
42,1TB,A/B,NA
43,1GB,A/B,Sometimes
44,10GB,A/B,NA
45,NA,A/B,NA
46,<1MB,A/B,NA
47,10GB,A/B,NA
48,1GB,A/B,NA
49,10GB,A/B,NA
50,1GB,A/B,NA
51,10GB,A/B,NA
52,1GB,A/B,NA
53,10MB,A/B,NA
54,10GB,A/B,NA
55,10GB,A/B,Most of the time
56,1GB,A/B,Often
57,NA,A/B,NA
58,NA,A/B,NA
59,10TB,A/B,NA
60,100GB,A/B,NA
61,1TB,A/B,NA
62,10MB,A/B,Rarely
63,1GB,A/B,NA
64,10MB,A/B,NA
65,1MB,A/B,NA
66,10GB,A/B,NA
67,1GB,A/B,NA
68,NA,A/B,NA
69,10GB,A/B,NA
70,10GB,A/B,NA
71,10MB,A/B,NA
72,100GB,A/B,NA
73,10GB,A/B,Often
74,10GB,A/B,NA
75,100MB,A/B,NA
76,1TB,A/B,NA
77,1GB,A/B,NA
78,100GB,A/B,NA
79,10GB,A/B,NA
80,1GB,A/B,Sometimes
81,1GB,A/B,NA
82,100MB,A/B,NA
83,10GB,A/B,NA
84,1MB,A/B,NA
85,100GB,A/B,NA
86,100GB,A/B,NA
87,1PB,A/B,NA
88,1MB,A/B,NA
89,100MB,A/B,Sometimes
90,10GB,A/B,NA
91,1GB,A/B,NA
92,1TB,A/B,Often
93,100MB,A/B,NA
94,10TB,A/B,NA
95,NA,A/B,NA
96,1GB,A/B,NA
97,10GB,A/B,NA
98,10GB,A/B,NA
99,1GB,A/B,NA
100,10GB,A/B,NA
101,10MB,A/B,NA
102,10MB,A/B,NA
103,100GB,A/B,NA
104,100MB,A/B,NA
105,100MB,A/B,NA
106,1TB,A/B,NA
107,100MB,A/B,NA
108,10MB,A/B,NA
109,10GB,A/B,Rarely
110,10MB,A/B,NA
111,100GB,A/B,NA
112,10MB,A/B,NA
113,100MB,A/B,NA
114,10MB,A/B,NA
115,100GB,A/B,NA
116,100MB,A/B,NA
117,100MB,A/B,NA
118,NA,A/B,NA
119,1GB,A/B,Rarely
120,100GB,A/B,NA
121,100GB,A/B,NA
122,100TB,A/B,NA
123,100GB,A/B,Often
124,100MB,A/B,NA
125,<1MB,A/B,Often
126,100GB,A/B,NA
127,10GB,A/B,NA
128,100MB,A/B,NA
129,1GB,A/B,NA
130,NA,A/B,NA
131,10MB,A/B,NA
132,10MB,A/B,Sometimes
133,1TB,A/B,Often
134,100MB,A/B,NA
135,1GB,A/B,NA
136,10GB,A/B,NA
137,NA,A/B,NA
138,1GB,A/B,NA
139,100GB,A/B,NA
140,1GB,A/B,Sometimes
141,1GB,A/B,NA
142,NA,A/B,NA
143,NA,A/B,NA
144,1GB,A/B,NA
145,100MB,A/B,Sometimes
146,NA,A/B,NA
147,100MB,A/B,NA
148,1GB,A/B,Sometimes
149,1GB,A/B,NA
150,1GB,A/B,NA
151,100MB,A/B,NA
152,100TB,A/B,NA
153,100MB,A/B,NA
154,1GB,A/B,Often
155,10GB,A/B,NA
156,10MB,A/B,NA
157,10GB,A/B,NA
158,100MB,A/B,NA
159,100GB,A/B,NA
160,NA,A/B,NA
161,1GB,A/B,NA
162,1GB,A/B,NA
163,100GB,A/B,Sometimes
164,1GB,A/B,NA
165,NA,A/B,Often
166,10GB,A/B,Often
167,1GB,A/B,NA
168,100MB,A/B,NA
169,100MB,A/B,NA
170,100MB,A/B,Most of the time
171,10MB,A/B,NA
172,10MB,A/B,NA
173,1GB,A/B,NA
174,10GB,A/B,NA
175,NA,A/B,NA
176,10GB,A/B,NA
177,1GB,A/B,NA
178,100GB,A/B,NA
179,10GB,A/B,NA
180,NA,A/B,NA
181,1GB,A/B,NA
182,100MB,A/B,Sometimes
183,10MB,A/B,NA
184,10GB,A/B,NA
185,10GB,A/B,NA
186,NA,A/B,NA
187,1GB,A/B,NA
188,100MB,A/B,NA
189,NA,A/B,NA
190,10GB,A/B,NA
191,1GB,A/B,NA
192,1GB,A/B,NA
193,10GB,A/B,NA
194,10GB,A/B,NA
195,1GB,A/B,NA
196,100GB,A/B,Often
197,100TB,A/B,NA
198,100MB,A/B,NA
199,1MB,A/B,NA
200,1GB,A/B,NA
201,1GB,A/B,NA
202,10GB,A/B,NA
203,100MB,A/B,NA
204,10GB,A/B,NA
205,1GB,A/B,NA
206,10GB,A/B,Sometimes
207,10GB,A/B,NA
208,100MB,A/B,NA
209,10TB,A/B,NA
210,10GB,A/B,NA
211,10GB,A/B,NA
212,100TB,A/B,Sometimes
213,100MB,A/B,NA
214,100MB,A/B,NA
215,10GB,A/B,Often
216,1GB,A/B,Often
217,100MB,A/B,NA
218,1GB,A/B,NA
219,100MB,A/B,NA
220,1GB,A/B,Often
221,1TB,A/B,NA
222,10GB,A/B,NA
223,100GB,A/B,NA
224,10GB,A/B,NA
225,100TB,A/B,Often
226,10GB,A/B,NA
227,1MB,A/B,NA
228,1TB,A/B,Sometimes
229,100GB,A/B,NA
230,10GB,A/B,NA
231,10GB,A/B,NA
232,10MB,A/B,Sometimes
233,1MB,A/B,NA
234,100GB,A/B,NA
