id,tool_name,frequency_id
1,AWS,Rarely
1,Oracle,Sometimes
1,Perl,Most of the time
2,Amazon_ML,Rarely
2,AWS,Often
2,Cloudera,Rarely
2,Hadoop,Rarely
2,Impala,Rarely
2,Java,Rarely
2,Mathematica,Rarely
2,MATLAB,Rarely
2,Excel,Sometimes
2,Microsoft_SQL,Rarely
2,No_SQL,Rarely
2,Python,Rarely
2,R,Rarely
2,SASBase,Sometimes
2,SASJMP,Rarely
2,SQL,Often
2,Tableau,Rarely
3,C,Rarely
3,IBMCognos,Rarely
3,MATLAB,Sometimes
3,Excel,Often
3,Microsoft_RServer,Often
3,Microsoft_SQL,Often
3,Perl,Rarely
3,Python,Rarely
3,R,Most of the time
3,SQL,Most of the time
3,Unix,Sometimes
4,C,Often
4,Jupyter,Most of the time
4,Python,Most of the time
4,Tensor_Flow,Often
5,Hadoop,Often
5,Java,Rarely
5,Jupyter,Most of the time
5,No_SQL,Rarely
5,Python,Most of the time
5,R,Rarely
5,Spark,Most of the time
5,SQL,Often
6,IBMCognos,Often
6,No_SQL,Rarely
6,Unix,Sometimes
7,C,Most of the time
7,Jupyter,Sometimes
7,Python,Often
7,Tensor_Flow,Often
7,Unix,Often
8,C,Often
8,Jupyter,Sometimes
8,MATLAB,Often
8,Python,Often
8,Tensor_Flow,Often
10,C,Often
10,Jupyter,Sometimes
10,Excel,Sometimes
10,No_SQL,Sometimes
10,Python,Sometimes
10,R,Most of the time
10,SQL,Sometimes
10,Unix,Often
11,AWS,Often
11,Java,Sometimes
11,Jupyter,Sometimes
11,MATLAB,Often
11,No_SQL,Sometimes
11,Python,Often
11,R,Most of the time
11,SQL,Often
12,R,Often
13,C,Sometimes
13,Jupyter,Sometimes
13,MATLAB,Most of the time
13,No_SQL,Sometimes
13,Python,Sometimes
13,SQL,Sometimes
14,Python,Often
15,Hadoop,Rarely
15,Python,Rarely
15,R,Rarely
15,Tensor_Flow,Sometimes
16,Jupyter,Often
16,MATLAB,Often
16,Excel,Most of the time
16,Python,Most of the time
16,R,Sometimes
17,Amazon_ML,Sometimes
17,C,Sometimes
17,No_SQL,Sometimes
17,R,Sometimes
18,C,Most of the time
18,Python,Rarely
18,R,Often
19,AWS,Sometimes
19,Jupyter,Sometimes
19,Python,Rarely
19,R,Most of the time
19,Tensor_Flow,Sometimes
19,Unix,Often
20,C,Rarely
20,Java,Rarely
20,Jupyter,Often
20,MATLAB,Sometimes
20,No_SQL,Sometimes
20,Python,Most of the time
20,R,Most of the time
20,Spark,Sometimes
20,SQL,Sometimes
20,Tableau,Sometimes
20,Tensor_Flow,Most of the time
20,Select1,Most of the time
20,Select2,Most of the time
21,IBMSPSSStatistics,Rarely
21,R,Sometimes
21,SASBase,Most of the time
21,SQL,Most of the time
22,IBMSPSSStatistics,Rarely
22,Jupyter,Most of the time
22,Mathematica,Sometimes
22,MATLAB,Rarely
22,Excel,Most of the time
22,Python,Most of the time
22,R,Often
22,Rapid_Miner_Free,Sometimes
22,Unix,Often
23,Excel,Most of the time
